condition,condition_label,mean_T_exp_s,sd_between_trials_s,mean_error_percent,mean_effective_length_m,trials
angle10,10 deg,2.2249987691276374,0.0753155845304944,2.8732095227115906,1.229865181826085,3
angle20,20 deg,2.2615977210391676,0.009567519085847593,2.862696345010621,1.269703264567723,3
angle30,30 deg,2.262809526530956,0.024620348220083747,2.917812062174425,1.271149439201907,3
cardboard20,20 deg + cardboard,2.057980338921693,0.02836008682969363,6.398293243222608,1.0514866446534816,3
mass20,20 deg + added mass,2.253746171059458,0.0346579732666072,2.5055896881161392,1.261086294067549,3
