Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01347861,0,0,0,0
0.01847861,0.0554075241088867,-0.00555980205535889,-0.00480747222900391,0.0558929057752796
0.02347861,0.0958051681518555,0.003684401512146,-0.000233173370361328,0.0958762714592545
0.02847861,0.145581245422363,0.0155413150787354,0.04459547996521,0.153049627005198
0.03347861,0.156176567077637,0.0329824686050415,0.0619308948516846,0.17121448267179
0.03847861,0.130527496337891,0.0753895044326782,0.127521276473999,0.197440321698484
0.04347861,0.0822734832763672,0.077252984046936,0.187600374221802,0.218931153568292
0.04847861,0.0231332778930664,0.0940181016921997,0.24777364730835,0.266019420893222
0.05347861,-0.0457897186279297,0.0877362489700317,0.304290533065796,0.31997980597035
0.05847861,-0.103489875793457,0.108970046043396,0.337642908096314,0.369577270288881
0.06347861,-0.122904777526855,0.149198412895203,0.311198949813843,0.366347563271017
0.06847861,-0.102693557739258,0.18100905418396,0.273779392242432,0.343897368577245
0.07347861,-0.0782947540283203,0.188300251960754,0.240514039993286,0.315331661636967
0.07847861,-0.0347223281860352,0.177154421806335,0.237716913223267,0.298493986660693
0.08347861,0.0207977294921875,0.138959288597107,0.243391990661621,0.281037169352509
0.08847861,0.0864648818969727,0.115341424942017,0.276680469512939,0.311980612088336
0.09347861,0.151622772216797,0.0735782384872437,0.288528919219971,0.334143920279626
0.09847861,0.17487621307373,0.0524770021438599,0.315079689025879,0.36415757041377
0.10347861,0.197725296020508,0.0357977151870728,0.329466342926025,0.385907813110931
0.10847861,0.207176208496094,0.0438613891601563,0.345663070678711,0.405374840434025
0.11347861,0.19135856628418,0.0512882471084595,0.328963994979858,0.384012884126176
0.11847861,0.164084434509277,0.0525822639465332,0.290633916854858,0.337870788551436
0.12347861,0.141975402832031,0.0545581579208374,0.237013578414917,0.281618614367155
0.12847861,0.101923942565918,0.0498363971710205,0.164750337600708,0.200037072290902
0.13347861,0.0485115051269531,0.052072286605835,0.0871241092681885,0.112496664740862
0.13847861,-0.00140190124511719,0.0509680509567261,0.0263638496398926,0.0574000009866146
0.14347861,-0.0413274765014648,0.0441255569458008,0.00885248184204102,0.0611014854526459
