Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.012705157,0,0,0,0
0.017705157,0.0900411605834961,-0.00821781158447266,-0.00663608312606812,0.0906585937775174
0.022705157,0.196681022644043,-0.00145953893661499,-0.0356505215167999,0.199891256953959
0.027705157,0.303243637084961,-0.0156857967376709,-0.0411917865276337,0.306430270908651
0.032705157,0.383310317993164,-0.0305671095848084,-0.0157755017280579,0.384850639239643
0.037705157,0.422075271606445,-0.0564874410629272,0.0659721046686173,0.430918419766316
0.042705157,0.450742721557617,-0.0820103287696838,0.0697144567966461,0.463416443977262
0.047705157,0.286016464233398,0.0169674158096313,-0.862149953842163,0.908512990508048
0.052705157,0.637752532958984,-0.0955569744110107,0.440579622983933,0.781005654808498
0.057705157,0.588753700256348,-0.0991454720497131,-0.169175565242767,0.620549044047859
0.062705157,0.592955589294434,-0.0999953150749207,0.159818485379219,0.622203617942993
0.067705157,0.542807579040527,-0.0859789252281189,0.30511075258255,0.628589703056541
0.072705157,0.361832618713379,-0.0619569420814514,0.0912217944860458,0.378263033385923
0.077705157,0.21635913848877,-0.0485327243804932,0.240174487233162,0.326879926672024
0.082705157,0.111690521240234,-0.0264667272567749,0.217917159199715,0.246298900647716
0.087705157,0.0127506256103516,0.0000486969947814941,0.111211813986301,0.111940378751264
0.092705157,-0.0501537322998047,0.0100887417793274,0.143481224775314,0.152328728207501
0.097705157,-0.123719215393066,0.026206374168396,0.127942800521851,0.17989602138431
0.102705157,-0.202350616455078,0.0273453593254089,0.115851178765297,0.234765918049649
0.107705157,-0.260211944580078,0.040668785572052,0.165176391601563,0.310881724397823
0.112705157,-0.27837085723877,0.0431340336799622,0.210225954651833,0.351490869057257
0.117705157,-0.270797729492188,0.0425841808319092,0.211402654647827,0.346173229969328
0.122705157,-0.22792911529541,0.0535441040992737,0.232588142156601,0.33002408481049
0.127705157,-0.172697067260742,0.0425521731376648,0.270778000354767,0.323968655822327
0.132705157,-0.0937719345092773,0.0293548703193665,0.283787846565247,0.300317208916204
0.137705157,-0.0305328369140625,0.0286468267440796,0.324895977973938,0.327582495436138
0.142705157,0.026890754699707,0.0146487355232239,0.360153138637543,0.361452599120856
0.147705157,0.0801095962524414,0.0122561454772949,0.396721303462982,0.404914254052704
0.152705157,0.127392768859863,0.00634515285491943,0.413973778486252,0.433178332556834
0.157705157,0.175213813781738,-0.00346708297729492,0.447290927171707,0.480396788846927
0.162705157,0.204081535339355,-0.0176857709884644,0.484543740749359,0.526065296575727
0.167705157,0.223042488098145,-0.0300906896591187,0.480154812335968,0.530284871470572
0.172705157,0.239818572998047,-0.036922037601471,0.482039391994476,0.539664859194916
