Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.018397396,0.0747594833374023,-0.0138875246047974,0.0120183229446411,0.0769823601542969
0.023397396,0.128684043884277,-0.0267748832702637,0.0166410207748413,0.132489248986382
0.028397396,0.190901756286621,-0.0444689989089966,0.0142905712127686,0.196532930683059
0.033397396,0.210659027099609,-0.0383462905883789,-0.00530660152435303,0.214186422819423
0.038397396,0.223992347717285,-0.0407122373580933,0.0114454030990601,0.22794967725071
0.043397396,0.203267097473145,-0.034659743309021,-0.0106838941574097,0.206477495906384
0.048397396,0.165297508239746,-0.0177229642868042,-0.00888335704803467,0.166482082296634
0.053397396,0.101399421691895,-0.00956344604492188,-0.0111454725265503,0.102457424218769
0.058397396,0.0250511169433594,-0.0184632539749146,-0.0321381092071533,0.0447359840716953
0.063397396,-0.0425100326538086,0.0020984411239624,-0.0476862192153931,0.0639177740103419
0.068397396,-0.0874862670898438,0.0154688358306885,-0.0435376167297363,0.0989376363260094
0.073397396,-0.121017456054688,0.019782543182373,-0.0405956506729126,0.12916880636697
0.078397396,-0.143918991088867,0.0358543395996094,-0.0478909015655518,0.155858102506488
0.083397396,-0.150740623474121,0.0307906866073608,-0.0279456377029419,0.156370587431728
0.088397396,-0.138964653015137,0.0313514471054077,-0.0316677093505859,0.145934683467412
0.093397396,-0.0880661010742188,0.0186090469360352,-0.039942741394043,0.0984751612151687
0.098397396,-0.0339927673339844,0.00425851345062256,-0.00651824474334717,0.0348730652849115
0.103397396,0.0370626449584961,-0.00521552562713623,-0.00444746017456055,0.0376911297375278
0.108397396,0.109681129455566,-0.019492506980896,0.0275182723999023,0.114748260566007
0.113397396,0.165663719177246,-0.0355209112167358,0.040906548500061,0.174297299736664
0.118397396,0.217378616333008,-0.0450382232666016,0.0282069444656372,0.223780106600102
0.123397396,0.230203628540039,-0.045175313949585,0.0493890047073364,0.239736925335721
0.128397396,0.223541259765625,-0.0354601144790649,0.0310077667236328,0.228450423798377
0.133397396,0.183259010314941,-0.027288556098938,0.0361357927322388,0.188770563573784
0.138397396,0.109550476074219,0.00413417816162109,0.0240284204483032,0.112230847926942
0.143397396,0.0416269302368164,0.0160187482833862,0.00285804271697998,0.0446941833539819
0.148397396,-0.0646581649780273,0.0256909132003784,-0.00328075885772705,0.0696524565114378
0.153397396,-0.15789794921875,0.0490027666091919,-0.0405205488204956,0.170220293677211
0.158397396,-0.257179260253906,0.0606616735458374,-0.0475106239318848,0.268473965085118
0.163397396,-0.355057716369629,0.0898363590240479,-0.0676596164703369,0.372443790466731
0.168397396,-0.428627014160156,0.0882806777954102,-0.0778164863586426,0.444488471041795
0.173397396,-0.457891464233398,0.107035756111145,-0.0997860431671143,0.480706251795251
0.178397396,-0.475471496582031,0.10599148273468,-0.0850911140441895,0.49451778144323
0.183397396,-0.459059715270996,0.0903780460357666,-0.101018786430359,0.478653119285557
0.188397396,-0.416782379150391,0.0850049257278442,-0.088324785232544,0.434436021359453
0.193397396,-0.321212768554688,0.104794979095459,0.107474684715271,0.354556678375731
0.198397396,-0.217954635620117,0.097739577293396,0.29938542842865,0.382999847145134
0.203397396,-0.103047370910645,0.0628564357757568,0.2499178647995,0.277540323765698
0.208397396,-0.0367527008056641,0.0149370431900024,0.0598042011260986,0.0717664179690022
0.213397396,0.0261039733886719,-0.00671839714050293,-0.0535235404968262,0.0599276536678135
0.218397396,0.115133285522461,-0.0153988599777222,-0.0477173328399658,0.125577634064232
0.223397396,0.195501327514648,-0.0337573289871216,-0.035520076751709,0.201549006876198
0.228397396,0.263415336608887,-0.0457245111465454,-0.0244646072387695,0.268471390445446
0.233397396,0.285684585571289,-0.0537559986114502,-0.0148395299911499,0.291076624740139
0.238397396,0.291435241699219,-0.0496369600296021,0.019292950630188,0.296260942159579
0.243397396,0.288257598876953,-0.0423988103866577,0.0166469812393188,0.291834241337257
0.248397396,0.268979072570801,-0.0363575220108032,0.0183844566345215,0.272047053160957
0.253397396,0.213271141052246,-0.0144670009613037,0.0110474824905396,0.214046538378737
0.258397396,0.161904335021973,0.00255715847015381,0.0058588981628418,0.162030489248262
0.263397396,0.0919580459594727,-0.00135612487792969,0.0184239149093628,0.0937953193499359
0.268397396,0.0193967819213867,0.00908553600311279,0.00456142425537109,0.0218995137984198
0.273397396,-0.0406160354614258,0.0167951583862305,0.0106246471405029,0.045217505555731
0.278397396,-0.0903968811035156,0.0312565565109253,0.0016326904296875,0.0956620829597757
0.283397396,-0.146990776062012,0.0371092557907105,0.00669944286346436,0.151750675936991
0.288397396,-0.177534103393555,0.0229647159576416,0.0326567888259888,0.181967584759467
0.293397396,-0.194169044494629,0.0369298458099365,0.0166364908218384,0.198348693412304
0.298397396,-0.190025329589844,0.0386644601821899,0.0245332717895508,0.19546469704683
0.303397396,-0.184929847717285,0.0349464416503906,0.0256350040435791,0.189940663874476
0.308397396,-0.169476509094238,0.0385754108428955,0.0297504663467407,0.176338990879261
0.313397396,-0.149797439575195,0.0319408178329468,0.0436267852783203,0.159256978311289
0.318397396,-0.126062393188477,0.0264551639556885,0.061620831489563,0.142789108652563
0.323397396,-0.072662353515625,0.0329736471176147,0.0717852115631104,0.107332174215503
0.328397396,-0.0419521331787109,0.0167497396469116,0.0621058940887451,0.0767963367423606
0.333397396,-0.0193367004394531,0.0193651914596558,0.0827207565307617,0.0871300303292489
0.338397396,0.0095367431640625,0.0105184316635132,0.0905218124389648,0.0916285184976404
0.343397396,0.0175552368164063,0.0129753351211548,0.0833277702331543,0.0861397872833207
0.348397396,-0.00176715850830078,0.00467050075531006,0.0725276470184326,0.0726993535633514
0.353397396,-0.000957489013671875,0.0161477327346802,0.0744662284851074,0.0762029214825665
0.358397396,-0.00113582611083984,0.0147024393081665,0.0754165649414063,0.0768447141326307
0.363397396,-0.0255184173583984,0.0110708475112915,0.0809050798416138,0.0855534057374315
0.368397396,-0.0365571975708008,0.00665867328643799,0.0696874856948853,0.0789753903861255
0.373397396,-0.051849365234375,0.0149911642074585,0.0668507814407349,0.0859192566235271
0.378397396,-0.0582122802734375,0.0139575004577637,0.0814975500106812,0.101120383955982
0.383397396,-0.0573654174804688,0.00405788421630859,0.0476090908050537,0.0746584427530155
0.388397396,-0.038304328918457,0.00532436370849609,0.0547984838485718,0.0670704427814211
0.393397396,-0.0375614166259766,0.00233447551727295,0.0474824905395508,0.0605879253872376
0.398397396,-0.0161361694335938,-0.00161147117614746,0.0543367862701416,0.0567050186977154
0.403397396,0.00998020172119141,-0.0229272842407227,0.0560801029205322,0.0614023023397987
0.408397396,0.0202646255493164,-0.0205113887786865,0.043574333190918,0.0522503074758185
0.413397396,0.0153446197509766,-0.0349310636520386,0.0352092981338501,0.0519165796084755
0.418397396,0.0300016403198242,-0.0407388210296631,0.0452098846435547,0.0678504504793487
0.423397396,0.0352973937988281,-0.0338147878646851,0.0470160245895386,0.0678222121102467
0.428397396,0.0351238250732422,-0.0325154066085815,0.024094820022583,0.0535863332074305
0.433397396,0.0260066986083984,-0.0281839370727539,0.0367387533187866,0.0531076141136813
0.438397396,0.000574111938476563,-0.0255604982376099,0.0152833461761475,0.0297867310226
0.443397396,-0.00646877288818359,-0.0123587846755981,0.0263569355010986,0.0298206745454521
0.448397396,-0.00301074981689453,-0.0121161937713623,0.0250319242477417,0.0279725579364814
0.453397396,-0.0207052230834961,-0.00614821910858154,0.0132820606231689,0.0253558670832216
0.458397396,-0.0389194488525391,0.00477385520935059,0.00895905494689941,0.0402216093423276
0.463397396,-0.04986572265625,0.0109002590179443,-0.00674426555633545,0.0514868047229841
0.468397396,-0.0472145080566406,0.0117164850234985,-0.00432968139648438,0.0488388363224546
0.473397396,-0.0609188079833984,0.0164749622344971,-0.0235869884490967,0.067371147910987
0.478397396,-0.0663137435913086,0.0115008354187012,-0.0160230398178101,0.0691846775624849
0.483397396,-0.0716953277587891,0.0134873390197754,-0.033385157585144,0.0802290289313005
0.488397396,-0.0732078552246094,0.00919520854949951,-0.0319887399673462,0.0804190363754419
0.493397396,-0.054387092590332,0.0034029483795166,-0.0355808734893799,0.0650809838306879
0.498397396,-0.0343770980834961,-0.00514662265777588,-0.0368459224700928,0.0506546602011694
